1,0,0,1,12/15/2022-15:18:17,25,8e5aef5a-7c89-11ed-a256-cb1082eb2227
2,0,3,2,12/15/2022-15:35:49,75,1e1a36e4-7c8c-11ed-a256-cb1082eb2227
3,0,3,2,12/15/2022-15:46:01,50,381d9da0-7c8d-11ed-a256-cb1082eb2227
4,0,2,2,12/15/2022-15:48:48,25,fe68d9b2-7c8c-11ed-a256-cb1082eb2227
5,2,3,2,12/15/2022-15:55:25,50,9abc5c52-7c8e-11ed-a256-cb1082eb2227
6,0,3,0,12/15/2022-16:08:55,25,abaecccc-7c8c-11ed-a256-cb1082eb2227
7,0,0,1,12/15/2022-16:32:56,25,fbd17b12-7c93-11ed-a256-cb1082eb2227
8,3,2,2,12/15/2022-16:59:17,25,8ece12d8-7c97-11ed-a256-cb1082eb2227
9,3,1,2,12/15/2022-19:39:58,50,2326af44-7cac-11ed-a256-cb1082eb2227
10,0,3,2,12/15/2022-20:16:47,25,4a3c6e54-7cb4-11ed-a256-cb1082eb2227
11,3,2,2,12/15/2022-20:22:13,75,8e1faca8-7cb4-11ed-a256-cb1082eb2227
12,0,2,2,12/15/2022-21:46:52,75,b3c216f6-7cc0-11ed-a256-cb1082eb2227
