filename,type,img,Fictional/Real,Human-made/Human-like,Eerie/Ordinary,Unsettling/Plain,Creepy/Dull,Hair-raising/Unemotional,Hostile/Friendly,Grumpy/Cheerful,Cold-hearted/Warm-hearted,realism_scale,uncanny_scale,warmth_scale
003.png,human,71,2.388888888888889,2.6666666666666665,0.5,0.6111111111111112,0.8333333333333334,1.0555555555555556,-0.2777777777777778,-0.5555555555555556,-0.3888888888888889,5.055555555555555,3.0,-1.2222222222222223
004.png,human,64,2.5454545454545454,2.0,0.9090909090909091,1.1818181818181819,1.4090909090909092,1.2727272727272727,1.1818181818181819,0.9090909090909091,0.7272727272727273,4.545454545454546,4.7727272727272725,2.8181818181818183
006.png,human,72,2.2777777777777777,2.2777777777777777,0.8888888888888888,1.0555555555555556,1.0555555555555556,1.0555555555555556,0.8888888888888888,0.2222222222222222,0.5555555555555556,4.555555555555555,4.055555555555555,1.6666666666666667
009.png,human,47,2.4444444444444446,2.5555555555555554,1.0555555555555556,0.8888888888888888,1.1111111111111112,1.2777777777777777,0.6666666666666666,0.3333333333333333,0.2777777777777778,5.0,4.333333333333333,1.2777777777777777
010.png,human,60,2.64,2.6,0.96,0.8,1.24,1.16,0.36,-0.16,0.08,5.24,4.16,0.28
012.png,human,58,2.52,2.44,0.8,1.16,1.2,0.96,0.52,0.0,0.2,4.96,4.12,0.72
018.png,human,57,2.4074074074074074,2.1481481481481484,0.9259259259259259,1.4074074074074074,1.4444444444444444,0.9629629629629629,0.5185185185185185,-0.4074074074074074,-0.1111111111111111,4.555555555555555,4.7407407407407405,0.0
019.png,human,50,2.7777777777777777,2.6666666666666665,0.9444444444444444,1.1666666666666667,1.3333333333333333,1.0555555555555556,0.4444444444444444,-0.2222222222222222,-0.2222222222222222,5.444444444444445,4.5,0.0
022.png,human,45,2.740740740740741,2.7037037037037037,1.3703703703703705,1.7037037037037037,1.4444444444444444,1.3333333333333333,0.18518518518518517,-0.2962962962962963,-0.18518518518518517,5.444444444444445,5.851851851851852,-0.2962962962962963
036.png,human,48,2.8260869565217392,2.869565217391304,0.43478260869565216,0.7391304347826086,1.1304347826086956,1.0,0.6086956521739131,0.043478260869565216,0.30434782608695654,5.695652173913044,3.3043478260869565,0.9565217391304348
037.png,human,51,2.5714285714285716,2.5238095238095237,0.6666666666666666,0.8571428571428571,0.9047619047619048,1.4285714285714286,1.4285714285714286,0.7142857142857143,0.9047619047619048,5.095238095238095,3.857142857142857,3.0476190476190474
042.png,human,53,2.68,2.32,0.92,1.16,1.28,1.2,0.36,0.0,0.24,5.0,4.56,0.6
083.png,human,73,2.6666666666666665,2.4814814814814814,0.5925925925925926,0.9259259259259259,0.8888888888888888,0.6666666666666666,0.2962962962962963,-0.14814814814814814,-0.1111111111111111,5.148148148148148,3.074074074074074,0.037037037037037035
113.png,human,43,2.68,2.16,0.68,0.72,1.0,0.56,0.6,-0.2,0.16,4.84,2.96,0.56
117.png,human,65,2.6956521739130435,2.739130434782609,1.0869565217391304,1.2608695652173914,1.608695652173913,1.0434782608695652,0.17391304347826086,-0.4782608695652174,0.0,5.434782608695652,5.0,-0.30434782608695654
119.png,human,59,2.730769230769231,2.576923076923077,0.8461538461538461,1.3461538461538463,1.8461538461538463,0.9615384615384616,0.038461538461538464,-0.8076923076923077,-0.38461538461538464,5.3076923076923075,5.0,-1.1538461538461537
139.png,human,62,2.6666666666666665,2.4583333333333335,1.0,1.125,1.0833333333333333,0.9166666666666666,0.4166666666666667,0.0,0.041666666666666664,5.125,4.125,0.4583333333333333
141.png,human,70,2.526315789473684,2.4210526315789473,1.0,1.2105263157894737,1.1578947368421053,0.9473684210526315,0.42105263157894735,-0.15789473684210525,-0.3684210526315789,4.947368421052632,4.315789473684211,-0.10526315789473684
144.png,human,52,2.739130434782609,2.652173913043478,0.9565217391304348,1.4782608695652173,2.0,1.2608695652173914,0.21739130434782608,0.043478260869565216,0.08695652173913043,5.391304347826087,5.695652173913044,0.34782608695652173
Ada Straus.png,semi-realistic,22,-1.8181818181818181,-1.3181818181818181,2.590909090909091,2.3636363636363638,2.5,2.272727272727273,0.13636363636363635,0.18181818181818182,-0.09090909090909091,-3.1363636363636362,9.727272727272727,0.22727272727272727
AnimalNEW.png,animated_grey,96,-2.9705882352941178,-2.8529411764705883,2.323529411764706,2.2058823529411766,2.2058823529411766,1.5294117647058822,0.35294117647058826,0.20588235294117646,0.14705882352941177,-5.823529411764706,8.264705882352942,0.7058823529411765
Arthur-Christmas-NEW.png,animated_grey,8,-1.0526315789473684,-0.42105263157894735,1.5789473684210527,1.736842105263158,2.1578947368421053,1.736842105263158,-1.263157894736842,-1.4736842105263157,-0.8947368421052632,-1.4736842105263157,7.2105263157894735,-3.6315789473684212
Bob Belcher NEW.png,animated_grey,108,-2.625,-1.375,1.8125,1.75,1.5625,1.9375,2.25,1.75,1.6875,-4.0,7.0625,5.6875
